,Model,variable,RMSE
0,LSTM,Tred,15.224215707972776
1,LSTM,Tred,14.738546194120968
2,LSTM,Tred,15.264384953844598
3,LSTM,Tred,14.802045800576591
4,LSTM,Tred,15.2358552924077
5,LSTM,Tred,15.199484746031684
6,LSTM,Tred,14.863092256747883
7,LSTM,Tred,14.71645755090889
8,LSTM,Tred,14.726940774742037
9,CNN,Tred,14.868376439167896
10,CNN,Tred,14.798545483998968
11,CNN,Tred,14.823277196368574
12,CNN,Tred,14.867741680713396
13,CNN,Tred,14.793313025329835
14,CNN,Tred,14.868148257519776
15,CNN,Tred,14.862764933726394
16,CNN,Tred,14.870984957575375
17,CNN,Tred,15.15041097940032
18,BiLSTM,Tred,16.312056735928635
19,BiLSTM,Tred,16.53371068867267
20,BiLSTM,Tred,17.187310969795725
21,BiLSTM,Tred,17.292683396518786
22,BiLSTM,Tred,16.424427011274908
23,BiLSTM,Tred,17.298890441997457
24,BiLSTM,Tred,16.711335478380164
25,BiLSTM,Tred,17.13041387314511
26,BiLSTM,Tred,16.323535192968485
27,GRU,Tred,15.895173156380752
28,GRU,Tred,15.869117407428488
29,GRU,Tred,15.95023993023711
30,GRU,Tred,15.97511697619385
31,GRU,Tred,15.91493379045365
32,GRU,Tred,14.876245716131328
33,GRU,Tred,16.06573031678802
34,GRU,Tred,15.956472520121832
35,GRU,Tred,15.592578442809652
36,RNN,Tred,15.862108789930582
37,RNN,Tred,16.182660652961136
38,RNN,Tred,16.00131701522463
39,RNN,Tred,16.179476424182955
40,RNN,Tred,16.038589428876914
41,RNN,Tred,16.296073844160468
42,RNN,Tred,15.83644171935016
43,RNN,Tred,16.04349442310191
44,RNN,Tred,16.14596137045217
45,LSTM,GAB,14.015745110926762
46,LSTM,GAB,14.045383395642808
47,LSTM,GAB,14.142782023709556
48,LSTM,GAB,13.958891317356208
49,LSTM,GAB,14.002604611142704
50,LSTM,GAB,14.022944800111857
51,LSTM,GAB,13.664189158813674
52,LSTM,GAB,14.353563880777946
53,LSTM,GAB,14.422862227124735
54,CNN,GAB,11.100603271338551
55,CNN,GAB,11.191285555728598
56,CNN,GAB,11.11792609624528
57,CNN,GAB,11.136555286673724
58,CNN,GAB,11.20650577447292
59,CNN,GAB,11.23539430205157
60,CNN,GAB,11.254134168018952
61,CNN,GAB,11.251421312512232
62,CNN,GAB,11.230456187398762
63,BiLSTM,GAB,14.294405378047838
64,BiLSTM,GAB,14.465995669286762
65,BiLSTM,GAB,13.328174412164117
66,BiLSTM,GAB,14.044486399989736
67,BiLSTM,GAB,14.642772218711844
68,BiLSTM,GAB,13.469685155836032
69,BiLSTM,GAB,14.58940948798617
70,BiLSTM,GAB,13.503101948108732
71,BiLSTM,GAB,14.896732859597249
72,GRU,GAB,13.74580072004114
73,GRU,GAB,13.902753814427566
74,GRU,GAB,14.104448867190987
75,GRU,GAB,14.025972875316436
76,GRU,GAB,13.923804777035627
77,GRU,GAB,13.914049620551136
78,GRU,GAB,14.31574284949538
79,GRU,GAB,14.272356431549136
80,GRU,GAB,14.274139502093703
81,RNN,GAB,13.88487799995634
82,RNN,GAB,13.367758472584237
83,RNN,GAB,13.0204665075398
84,RNN,GAB,13.989417975560558
85,RNN,GAB,14.023173664175866
86,RNN,GAB,13.90245072497541
87,RNN,GAB,13.99778934437832
88,RNN,GAB,14.12272911779506
89,RNN,GAB,13.969600721474045
