,Fast_Day,Last_Day
BHIWADI,2017-12-20 15:00:00,2022-12-02 16:00:00
JODHPUR,2015-12-01 00:00:00,2022-12-02 16:00:00
SINGRAULI,2017-12-08 11:00:00,2022-12-03 01:00:00
ANKLESHWAR,2019-02-04 18:00:00,2022-12-03 00:00:00
LUDHIANA,2017-05-01 00:00:00,2022-12-03 01:00:00
DURGAPUR,2020-12-06 15:00:00,2022-12-03 00:00:00
YAMUNA_NAGAR,2019-01-03 14:00:00,2022-12-02 16:00:00
CHARKHI_DADRI,2020-03-03 15:00:00,2022-12-02 17:00:00
JIND,2019-01-10 09:00:00,2022-12-03 01:00:00
KURUKSHETRA,2019-01-07 18:00:00,2022-12-03 01:00:00
SONIPAT,2019-01-01 00:00:00,2022-12-02 17:00:00
DHARUHERA,2019-01-04 12:00:00,2022-12-02 04:00:00
AMBALA,2019-01-08 12:00:00,2022-12-02 09:00:00
HISAR,2019-01-10 10:00:00,2022-12-03 00:00:00
FATEHABAD,2019-01-09 10:00:00,2022-12-02 17:00:00
BULANDSHAHR,2018-05-16 13:00:00,2022-12-02 17:00:00
MUZAFFARNAGAR,2018-07-01 00:00:00,2022-12-03 01:00:00
