,Fast_Day,Last_Day,count,mean,std,min,25%,50%,75%,max
BHIWADI,20-12-2017 15:00,02-12-2022 16:00,43394,108.0337483,79.7575935,0.02,55.22,97.32,135.355,999.99
JODHPUR,01-12-2015 00:00,02-12-2022 16:00,61409,84.30884555,56.17507578,0.18,53.25,84.30884555,93.42,999.99
SINGRAULI,08-12-2017 11:00,03-12-2022 01:00,43695,84.07888484,78.32602035,0.25,32.25,66,111.25,985
ANKLESHWAR,04-02-2019 18:00,03-12-2022 00:00,33535,58.47126979,35.83229258,0.51,32.75,58.47126979,72.24,977.39
LUDHIANA,01-05-2017 00:00,03-12-2022 01:00,49010,54.18070537,41.72936492,0.07,29.7,47.66,64.88,999.99
DURGAPUR,06-12-2020 15:00,03-12-2022 00:00,17434,71.66516634,46.19819069,0.33,37.4725,62.045,98.0275,565.41
YAMUNA_NAGAR,03-01-2019 14:00,02-12-2022 16:00,34299,77.8633741,52.30959419,0.1,43.8,69.91,94.28,930
CHARKHI_DADRI,03-03-2020 15:00,02-12-2022 17:00,24099,80.19422853,62.81330763,0.01,39.535,77.92,94.485,995.1
JIND,10-01-2019 09:00,03-12-2022 01:00,34145,81.20790101,71.19703393,0.2,38.99,61.45,98.25,845.6
KURUKSHETRA,07-01-2019 18:00,03-12-2022 01:00,34208,68.75483661,53.80132654,0.46,33.33,56.38,87.56,962.7
SONIPAT,01-01-2019 00:00,02-12-2022 17:00,34362,54.88284717,43.2094932,0.02,27.87,49.4,62.72,543.1
DHARUHERA,04-01-2019 12:00,02-12-2022 04:00,34265,78.86179491,59.20936284,0.02,40.9,70.32,92.85,838.9
AMBALA,08-01-2019 12:00,02-12-2022 09:00,34174,61.58184731,45.39340564,0.02,32.94,51.27,76.1775,754.89
HISAR,10-01-2019 10:00,03-12-2022 00:00,34143,86.22030417,71.02050965,0.63,42.62,69.33,102.885,999.99
FATEHABAD,09-01-2019 10:00,02-12-2022 17:00,34160,63.01257933,60.46487543,0.07,32.63,49.01,72.5,999.99
BULANDSHAHR,16-05-2018 13:00,02-12-2022 17:00,39869,90.53344553,85.08059871,0.25,34,63.75,120.25,985
MUZAFFARNAGAR,01-07-2018 00:00,03-12-2022 01:00,38786,89.28704635,72.8395854,1,42.75,81.25,102.25,986
