,Gab_bilstm,BiLSTM,Gab_LSTM,LSTM,Gab_GRU,GRU,Gab_CNN,CNN,Gab_RNN,RNN
Daily_Sunspot,222.026395064948,118.04873145565966,206.20571341175935,34.62444965353806,268.97255644645537,33.3957426888618,28.266788898732813,224.94416606479984,259.06032016065006,35.64508193633569
POWER_Point_Daily,3.621874111463258,10.365269787360308,2.910554123486576,10.22099215021467,3.010164514188781,10.222610137494984,2.670410218923556,10.294816727092106,2.927737179409247,10.19154454795392
Myocardial_infarction_heart,34.146578598694454,15.394233294614036,5.82015711760945,15.264349259530045,6.835252254418185,15.164704250243034,472.2297888180916,100.0198653599354,8.233960262349346,14.525515355642224
Healthy_control_heart,1.7841581243935365,11.062679793912157,1.7189549570902307,2.6664537141470617,2.2242308843710354,2.190497537888137,3.6681207595839327,6.553815362291704,1.6502536438054096,3.833497652895923
POWER_Point_Daily_TemperaturePOWER,0.9989658471727588,3.9328883831882577,1.1327582023662457,3.956034963595468,1.0797953181879325,3.954295423600661,0.9399144873519132,3.967630190900565,1.187204743180028,4.110279894640014
PM2.5_p09,6.379305858987961,15.228597179928403,8.316411492049385,16.32120060653147,7.974928135043163,16.121379123759827,4.744729748275271,20.744639200831468,8.260032024042493,15.294158035962912
POWER_Point_Daily_WindSpeed,13.32046373995399,22.979683853586675,13.685154849716447,23.13070115406628,14.058814779633062,23.131624403411884,13.39122426126372,23.177811194737554,15.164664500149737,23.84434881592914
BeijingPM2.5,128.77954836997975,38.20696294568511,42.45840019238879,25.935665397607444,19.042091759670107,21.1982459946932,15.41925184882901,20.77138301886849,18.76424585437586,19.94944404434045
SunSpotMonthly,18.09869654599808,27.96715765592807,14.212233397256554,29.380925625593516,14.010888317852936,27.3962410810616,17.03394274510476,38.81966869960339,15.21129249134421,28.154241906043428
PRSA_data_2010,43.1501857567784,447.4376792095648,22.846989039450484,19.737914273997823,32.507799069256656,21.725672820877072,12.283833505010138,48.80181820128958,21.23220227789889,30.559972784570608
