,Unnamed: 0,BiLSTM,LSTM,GRU,CNN,RNN
0,Daily_Sunspot,-103.97766360928833,-171.58126375822127,-235.57681375759358,196.67737716606703,-223.41523822431438
1,POWER_Point_Daily,6.74339567589705,7.310438026728094,7.212445623306203,7.62440650816855,7.263807368544674
2,Myocardial_infarction_heart,-18.752345304080418,9.444192141920595,8.329451995824849,-372.2099234581562,6.291555093292878
3,Healthy_control_heart,9.27852166951862,0.947498757056831,-0.03373334648289861,2.8856946027077717,2.1832440090905134
4,POWER_Point_Daily_TemperaturePOWER,2.933922536015499,2.8232767612292227,2.8745001054127286,3.027715703548652,2.9230751514599858
5,PM2.5_p09,8.849291320940441,8.004789114482085,8.146450988716664,15.999909452556198,7.034126011920419
6,POWER_Point_Daily_WindSpeed,9.659220113632685,9.445546304349833,9.072809623778822,9.786586933473835,8.679684315779404
7,BeijingPM2.5,-90.57258542429463,-16.522734794781343,2.1561542350230916,5.352131170039481,1.1851981899645878
8,SunSpotMonthly,9.868461109929989,15.168692228336965,13.385352763208664,21.78572595449863,12.942949414699218
9,PRSA_data_2010,404.2874934527864,-3.109074765452661,-10.782126248379583,36.51798469627944,9.327770506671719
