,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,0.2779769783305847,1.1620799074423034,0.9989658471727587,3.9328883831882577
BiLSTM-std,0.01780763419978333,0.0023534685399746067,0.06092923774779151,0.01979633270311704
LSTM,0.32480015839220455,1.167479659768365,1.1327582023662457,3.956034963595468
LSTM-std,0.03501140952869803,0.02364659586235957,0.12073497175277878,0.057000856746525816
GRU,0.3034820847119267,1.161696932618654,1.0797953181879323,3.9542954236006613
GRU-std,0.02549534778143243,0.0042086114938062755,0.09243221574602203,0.023923705806550333
CNN,0.26304997870373226,1.1755377693269138,0.9399144873519131,3.9676301909005653
CNN-std,0.035384681934959854,0.007906249038374587,0.14288810172582275,0.023343318967129816
RNN,0.3273825170299056,1.1875368728690132,1.1872047431800279,4.110279894640014
RNN-std,0.046027596370165395,0.03967558615823569,0.25059916667598997,0.3044984304772992
