,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,1224.9282572395878,1216.2099277441373,12.21577394819406,12.049642961665743
1,0,LSTM,1612.3425656518284,1500.149905864979,15.030226751724099,15.21690556103822
2,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1419.5539909801803,1404.427468165821,14.143366080986858,14.18285288917828
3,0,CNN,1809.8518418336996,1743.8922679922714,17.39806040771016,16.753977053486874
4,0,RNN,1620.5772805933586,1379.1398106677575,14.314120568658186,13.975854992686768
5,1,BiLSTM,1316.2189941767472,1245.8316667709985,12.98132993320936,12.189142426842348
6,1,LSTM,1431.4073341217588,1375.5173405893681,13.465331492876862,13.52475732499041
7,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1589.1179059098056,1438.5333850658917,16.91317096283901,14.012233790519083
8,1,CNN,1815.6228928139183,1743.628263224207,17.131164964661505,16.751057589527914
9,1,RNN,1275.212632040612,1280.2369794250098,12.570703363065897,12.587321430952219
10,2,BiLSTM,1246.734695250285,1248.955614351171,12.353519437652475,12.30573231265418
11,2,LSTM,1518.4352252916021,1403.7349165255941,14.7129477648484,13.627297422942213
12,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1382.8885448599112,1289.3924121101195,13.240569356527555,12.79030025862092
13,2,CNN,1827.9887321379435,1742.33911421273,17.48768634078179,16.732010261626804
14,2,RNN,1492.2892472723627,1259.6416079538474,12.90081597922815,12.270879559726287
15,3,BiLSTM,1449.5573874109762,1404.8976965891834,14.068637258696706,13.929002903952131
16,3,LSTM,1569.9522202350925,1498.9690297734935,14.373044043715263,14.726300981710905
17,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1442.8507955988562,1377.373386420437,13.241739806950967,13.328555480021627
18,3,CNN,1807.7038578882257,1744.089399146528,17.195541737601857,16.75696644914745
19,3,RNN,1192.4179536385016,1225.28572599067,11.983390282667852,12.355455270438256
20,4,BiLSTM,1297.8197475718478,1261.4945416773323,13.596939244286649,12.26928337022942
21,4,LSTM,1491.7109068605773,1516.8465355244346,14.193584155767763,14.540090249614757
22,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1514.364006921673,1615.7942530534863,13.730891294594558,14.173173261943525
23,4,CNN,1801.318276536526,1742.1963845788496,17.20464633923062,16.729995389662662
24,4,RNN,1310.6403285126794,1267.9745519860523,13.02708753153185,12.414262067031169
25,5,BiLSTM,1357.731876505379,1260.226337471022,13.06652154084547,12.379574423344277
26,5,LSTM,1449.0429741447635,1387.2621956891842,14.051870115664618,14.279236038676894
27,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1271.0068744396647,1332.4403970962474,13.343929037286347,12.985510867138192
28,5,CNN,1814.4436528097472,1743.7793368845723,17.502030234130626,16.753681469614044
29,5,RNN,1557.5125289059442,1236.6913203209474,14.878815386086167,12.128900240321634
30,6,BiLSTM,1417.9847502168957,1348.3175790204534,13.46083495618593,13.223693503612491
31,6,LSTM,1635.0158354845587,1577.979951016294,15.655691801961357,16.083944237940564
32,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1406.4093892380513,1324.3929426534544,13.58810566896597,12.86131219155262
33,6,CNN,1801.582451184128,1743.6815560539428,17.54015416756759,16.752311858498736
34,6,RNN,1315.3015817335136,1335.6223430947075,12.864933327650535,12.953374840763662
35,7,BiLSTM,1211.3435747700216,1239.0641814046082,11.977563371273796,12.177087029604325
36,7,LSTM,1566.1161837141403,1549.3944958205002,14.956802418215586,15.225207396721604
37,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1394.9772707224738,1298.0916357260269,13.560350859546904,12.853255438249741
38,7,CNN,1788.9304030799074,1742.8041463715954,17.105250893683017,16.739344848451847
39,7,RNN,1436.523408216515,1415.3384880921474,14.179561240732172,14.109802051681772
40,8,BiLSTM,1263.841736625459,1266.0971889672396,12.55165521098673,12.558407481182703
41,8,LSTM,1571.5257858149728,1518.5164937823763,15.745316691862396,15.16712976642412
42,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1448.8491950266468,1245.3338476100662,13.18755154979461,11.873770954608577
43,8,CNN,1836.7057652198098,1743.855014023223,17.703749640423503,16.75464904354264
44,8,RNN,1427.0418185784442,1286.4713599852219,14.253586610821367,12.77392430820603
45,9,BiLSTM,1215.747157492956,1239.0457778082366,11.866498158097704,12.024317967382208
46,9,LSTM,1490.2068367912766,1287.4877736977867,15.055412354078399,12.240853781523501
47,<keras.engine.sequential.Sequential object at 0x7f13283f9120>,GRU,1454.4120402645303,1425.7072378702917,13.780801099970416,14.662442537757169
48,9,CNN,1838.460573141685,1742.5064409459214,17.55982865312264,16.733883920984194
49,9,RNN,1570.745631624069,1335.1688663737255,17.1263935229078,13.594374230742524
